Compound_ID,Activity_Label,Source,SMILES,MolWt,LogP,HBA,HBD
CHEMBL131192,1,ChEMBL_PKM2,[H]c1nc(C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])S(=O)(=O)C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])C([H])([H])C([H])([H])C([H])([H])N=C(N([H])[H])N([H])[H])sc1[H],703.8910000000017,2.631020000000002,8,5
CHEMBL131401,1,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)c1nc([H])c([H])s1)N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])S(=O)(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c(F)c(F)c(F)c1[H],743.8340000000012,2.949570000000003,8,6
CHEMBL131452,1,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)c1nc([H])c([H])s1)N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])S(=O)(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])OC([H])([H])c1c([H])c([H])c([H])c([H])c1[H],719.8900000000016,2.506370000000003,9,6
CHEMBL132057,1,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)c1nc([H])c([H])s1)N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])S(=O)(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],703.8910000000017,2.9223700000000044,8,6
CHEMBL132395,1,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)c1nc([H])c([H])s1)N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])S(=O)(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C(=O)OC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],739.9210000000016,2.555570000000005,10,6
CHEMBL134792,0,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])c2c(F)c([H])c([H])c(N([H])C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c2F)c([H])c1[H])N([H])[H],422.47899999999976,3.7623700000000024,3,4
CHEMBL136098,0,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])c2c(F)c([H])c([H])c(N([H])S(=O)(=O)C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c2F)c1[H])N([H])[H],472.51699999999977,3.0496700000000017,4,4
CHEMBL136290,0,ChEMBL_PKM2,[H]c1c([H])c([H])c(C([H])([H])S(=O)(=O)N([H])c2c([H])c([H])c(F)c(C([H])([H])C(=O)N([H])C([H])([H])C3([H])C([H])([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c2F)c([H])c1[H],437.5119999999997,2.5650000000000004,4,3
CHEMBL136788,0,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])c1c(F)c([H])c([H])c(N([H])S(=O)(=O)C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c1F,467.54199999999963,2.21877,4,5
CHEMBL137337,0,ChEMBL_PKM2,[H]c1nc([H])n(C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])c2c(F)c([H])c([H])c(N([H])S(=O)(=O)C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c2F)c1[H],448.4949999999998,2.8522000000000007,5,2
CHEMBL137444,0,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])c2c(OC([H])([H])[H])c(N([H])C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c([H])c2-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H])N([H])[H],492.6229999999997,5.1597700000000035,4,4
CHEMBL137483,0,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])c2c(F)c([H])c([H])c(N([H])S(=O)(=O)C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c2F)c([H])c1[H])N([H])[H],472.5169999999998,3.0496700000000017,4,4
CHEMBL137487,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])c2c(F)c(N([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c([H])c2-c2c([H])c([H])c([H])c(N([H])[H])c2[H])c([H])c1[H])N([H])[H],481.57499999999976,4.829970000000004,4,5
CHEMBL138119,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])c2c(O[H])c(N([H])C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c([H])c2-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H])N([H])[H],478.5959999999997,4.856770000000005,4,5
CHEMBL140009,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])n2c(-c3c([H])c(C(=O)O[H])c([H])c(N([H])[H])c3[H])c([H])c([H])c(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c2=O)c([H])c1[H])N([H])[H],476.53699999999975,2.2164699999999993,8,6
